query_wo_tones,query,impressions,position,gg_impressions,gg_position,api_result,pv_result,pv,gg,count
laptop workstation dell,laptop workstation dell,193.7479184,,564.0,2.427304965,1082.0,0.0,0,1,1
man hinh dell ultrasharp u2417h,màn hình dell ultrasharp u2417h,240.1237499,,699.0,2.809728183,1478.0,38.0,0,1,1
man hinh lg,màn hình lg,1089.0,1.0,832.0,7.323660982,17.0,26.0,1,1,1
ryzen,ryzen,2424.0,1.0,2445.0,4.184458078,14.0,14.0,1,1,1
sm680,sm680,445.0,1.0,116.0,2.50862069,1.0,1.0,1,1,1
ssd samsung,ssd samsung,2398.0,1.0,3912.0,3.868609407,19.0,24.0,1,1,1
vga,vga,18839.0,1.0,14079.0,2.289864337,53.0,143.0,1,1,1
vga to hdmi,vga to hdmi,289.0,1.0,689.0,2.484760522,150.0,104.0,1,1,1
wifi,wifi,3451.0,1.0,,,138.0,19.0,1,0,1
7577,7577,391.0,1.0,246.0,4.479674797,6.0,2.0,1,1,1
card bluetooth cho pc,card bluetooth cho pc,290.6218776,,846.0,7.212765957,8.0,0.0,0,1,1
chip i3 4160,chip i3 4160,271.3844956,,790.0,1.612658228,165.0,0.0,0,1,1
chuot ko day,chuột ko dây,451.7349516,,1315.0,3.820601528,2027.0,0.0,0,1,1
core i3 4160,core i3 4160,52.0,1.0,1786.0,3.714445689,124.0,1.0,1,1,1
core i3 8100 gia,core i3 8100 giá,200.618412,,584.0,3.748287671,43.0,2.0,0,1,1
dell,dell,22647.0,1.0,70033.0,5.640669399,245.0,246.0,1,1,1
display,display,163.0,1.0,,,15.0,3.0,1,0,1
intel nuc,intel nuc,353.0,1.0,2266.0,8.784642542,5.0,4.0,1,1,1
laptop msi,laptop msi,1643.0,1.0,13861.0,4.551691797,16.0,22.0,1,1,1
laptop vaio,laptop vaio,840.6048871,,2447.0,1.927257867,1.0,0.0,0,1,1
logitech g613,logitech g613,51.0,1.0,651.0,4.425499232,1.0,1.0,1,1,1
o cung ssd m2,ổ cứng ssd m2,222.0,1.0,824.0,1.127587767,16.0,0.0,1,1,1
tai nghe choi game gia re,tai nghe chơi game giá rẻ,167.2965182,,487.0,7.092402464,5.0,1.0,0,1,1
vga card,vga card,112.0,1.0,418.0,8.894736842,6.0,102.0,1,1,1
xay dung pc,xây dựng pc,159.7389753,,465.0,1.012835323,2703.0,0.0,0,1,1
4160,4160,159.0,1.0,67.0,2.358208955,7.0,2.0,1,1,1
7400,7400,1058.0,1.0,,,6.0,13.0,1,0,1
8gis,8gis,192.0,1.0,,,3.0,4.0,1,0,1
ban phim khong day logitech,bàn phím không dây logitech,980.4194311,,2854.0,5.416958655,2.0,9.0,0,1,1
ban phim newmen,bàn phím newmen,256.0,1.0,212.0,7.806603774,38.0,45.0,1,1,1
cerberus,cerberus,189.0,1.0,,,7.0,9.0,1,0,1
fuhlen m87s,fuhlen m87s,272.0,1.0,4874.0,4.842429216,1.0,1.0,1,1,1
gtx 1050 2gb,gtx 1050 2gb,290.2783529,,845.0,2.178698225,696.0,0.0,0,1,1
laptop cho sinh vien 2018,laptop cho sinh viên 2018,224.3216148,,653.0,7.958652374,817.0,0.0,0,1,1
may tinh ban choi game,máy tính bàn chơi game,123.0,1.0,6084.0,3.366535174,1671.0,263.0,1,1,1
newmen n500,newmen n500,143.5933154,,418.0,2.241626794,5.0,5.0,0,1,1
nokia 150,nokia 150,165.9224195,,483.0,7.31884058,1.0,2.0,0,1,1
pc mini,pc mini,86.0,1.0,1209.0,5.916459884,5.0,6.0,1,1,1
ssd 1t,ssd 1t,177.2587339,,516.0,7.304263566,14.0,0.0,0,1,1
tainghe,tainghe,169.3576663,,493.0,7.097363083,0.0,0.0,0,1,1
b450,b450,1067.0,1.0,,,11.0,7.0,1,0,1
ban may tinh,bán máy tính,93.0,1.0,3080.0,4.695093506,192.0,226.0,1,1,1
ban phim co fuhlen sm680r,Bàn phím cơ Fuhlen SM680R,470.0,1.0,,,309.0,140.0,1,0,1
core i5,core i5,4404.0,1.0,18023.0,2.4208387175,231.0,34.0,1,1,4
corsa,corsa,238.0,1.0,,,122.0,107.0,1,0,1
g93s,g93s,282.0,1.0,291.0,3.206185567,1.0,1.0,1,1,1
main b360,main b360,256.0,1.0,2682.0,4.823266219,1.0,32.0,1,1,1
man hinh may tinh 4k,màn hình máy tính 4k,286.4995815,,834.0,4.970023981,2463.0,0.0,0,1,1
may vi tinh de ban,máy vi tính để bàn,295.4312231,,860.0,5.193023256,1656.0,0.0,0,1,1
tai nghe chinh hang,tai nghe chính hãng,189.969147,,553.0,9.021699819,870.0,0.0,0,1,1
7.1,7.1,449.0,1.0,,,13.0,16.0,1,0,1
8600k,8600k,555.0,1.0,138.0,4.130434783,1.0,2.0,1,1,1
card man hinh roi,card màn hình rời,59.0,1.0,858.0,3.571095571,1522.0,102.0,1,1,1
case xigmatek astro,case xigmatek astro,160.0825,,466.0,6.542918455,2.0,3.0,0,1,1
chuot may tinh khong day,chuột máy tính không dây,182.0,1.0,603.0,2.829187396,12.0,365.0,1,1,1
core i7 7700k,core i7 7700k,54.0,1.0,1557.0,1.924855491,1.0,1.0,1,1,1
dell 3567,dell 3567,367.0,1.0,1573.0,7.563254927,9.0,11.0,1,1,1
dell vostro,dell vostro,2491.0,1.0,20978.0,2.832729526,66.0,77.0,1,1,1
diet virus,diệt virus,123.0,1.0,1496.0,9.507352941,3.0,1.0,1,1,1
laptop asus gaming,laptop asus gaming,59.0,1.0,2687.0,7.905470785,1347.0,1.0,1,1,1
m221,m221,240.0,1.0,91.0,4.637362637,3.0,3.0,1,1,1
main asrock,main asrock,424.596502,,1236.0,3.174757282,4.0,0.0,0,1,1
may in hp m102a,máy in hp m102a,162.8306974,,474.0,1.27307442,1.0,0.0,0,1,1
thung may,thùng máy,4923.0,1.0,3329.0,1.0862345935,2618.0,185.0,1,1,3
usb phong vu,usb phong vũ,166.9529935,,486.0,1.0,602.0,4.0,0,1,1
wd 1tb,wd 1tb,549.0,1.0,194.0,1.618556701,21.0,21.0,1,1,1
windows 7 ultimate 32 bit,windows 7 ultimate 32 bit,218.4816952,,636.0,6.996855346,4.0,0.0,0,1,1
xiaomi mi air,xiaomi mi air,733.0,1.0,,,1.0,1.0,1,0,1
7570,7570,632.0,1.0,,,4.0,4.0,1,0,1
aigo,aigo,2015.0,1.0,,,6.0,14.0,1,0,1
amd ryzen 5 2400g,amd ryzen 5 2400g,323.256722,,941.0,4.058448459,1.0,0.0,0,1,1
box o cung 3.5,box ổ cứng 3.5,172.4493884,,502.0,4.402390438,8.0,0.0,0,1,1
laptop hp elitebook,laptop hp elitebook,663.689678,,1932.0,5.374223602,1.0,2.0,0,1,1
logitech g512,logitech g512,9814.0,1.0,,,3.0,2.0,1,0,1
main gigabyte h110,main gigabyte h110,230.8485836,,672.0,1.738095238,818.0,0.0,0,1,1
man hinh dell 24 inch,màn hình dell 24 inch,403.9850214,,1176.0,1.614795918,1484.0,38.0,0,1,1
may in canon 6230dn,máy in canon 6230dn,406.0461694,,1182.0,1.031817603,1.0,0.0,0,1,1
o cung hdd 500gb laptop,ổ cứng hdd 500gb laptop,180.350456,,525.0,1.417142857,813.0,0.0,0,1,1
o cung ssd va hdd,ổ cứng ssd và hdd,222.947516,,649.0,1.702619414,498.0,0.0,0,1,1
plantronics,plantronics,2328.0,1.0,,,16.0,21.0,1,0,1
zeus,zeus,249.0,1.0,,,13.0,18.0,1,0,1
asrock h110m,asrock h110m,209.0,1.0,108.0,6.453703704,1.0,3.0,1,1,1
asus 1050,asus 1050,226.0,1.0,129.0,3.96124031,2.0,13.0,1,1,1
asus s410ua,asus s410ua,95.0,1.0,1200.0,4.066666667,4.0,5.0,1,1,1
ban may in,bán máy in,195.8090665,,570.0,3.645209173,31.0,0.0,0,1,1
ban phim razer,bàn phím razer,398.0,1.0,749.0,6.727636849,7.0,11.0,1,1,1
bluetooth,bluetooth,5901.0,1.0,2540.0,8.287795276,92.0,128.0,1,1,1
dell vostro 5468,dell vostro 5468,293.0,1.0,4488.0,3.853832442,3.0,4.0,1,1,1
galax,galax,572.0,1.0,,,27.0,52.0,1,0,1
gigabyte gtx 750ti,gigabyte gtx 750ti,218.8252199,,637.0,6.080062794,145.0,0.0,0,1,1
hdd 500gb laptop,hdd 500gb laptop,293.7135997,,855.0,2.450292398,1249.0,0.0,0,1,1
man hinh dell,màn hình dell,2050.0,1.0,13285.0,3.0720133615,2473.0,38.0,1,1,2
may tinh asus,máy tính asus,118.0,1.0,6926.0,7.899455966,130.0,155.0,1,1,1
may tinh ban gia re,máy tính bàn giá rẻ,190.999721,,556.0,8.142086331,1725.0,226.0,0,1,1
ssd 500,ssd 500,194.0,1.0,,,14.0,0.0,1,0,1
tay cam,tay cầm,4018.0,1.0,2907.0,1.92774404,16.0,17.0,1,1,1
d-link,d-link,2262.0,1.0,,,61.0,95.0,1,0,1
dell in,dell in,247.0,1.0,,,75.0,157.0,1,0,1
g90 pro,g90 pro,324.0,1.0,1067.0,2.376757263,1.0,1.0,1,1,1
gia o cung 500gb,giá ổ cứng 500gb,218.4816952,,636.0,3.838050314,509.0,0.0,0,1,1
lot chuot,lót chuột,8229.0,1.0,17728.0,1.9086591126666665,70.0,63.0,1,1,6
o cung ssd laptop,ổ cứng ssd laptop,96.0,1.0,2975.0,1.011875297,818.0,0.0,1,1,1
ram ddr4 laptop,ram ddr4 laptop,259.0,1.0,580.0,2.718965517,15.0,157.0,1,1,1
ryzen 3,ryzen 3,1059.0,1.0,267.0,4.546816479,12.0,14.0,1,1,1
transcend,transcend,1456.0,1.0,,,71.0,67.0,1,0,1
502,502,210.0,1.0,,,3.0,0.0,1,0,1
de tan nhiet,đế tản nhiệt,1328.0,1.0,2356.0,3.933525786,2630.0,7.0,1,1,1
g231,g231,386.0,1.0,676.0,3.196745562,1.0,1.0,1,1,1
gia laptop asus,giá laptop asus,364.4796834,,1061.0,5.690857681,1381.0,0.0,0,1,1
i5 8250,i5 8250,345.0,1.0,,,68.0,52.0,1,0,1
man hinh acer,màn hình acer,207.0,1.0,325.0,3.476923077,24.0,25.0,1,1,1
man hinh asus,màn hình asus,935.0,1.0,1870.0,6.355298526,63.0,60.0,1,1,1
o cung di dong 500gb,ổ cứng di động 500gb,190.0,1.0,2208.0,4.763057141,930.0,107.0,1,1,1
ram 16g,ram 16g,178.0,1.0,317.0,3.268138801,82.0,6.0,1,1,1
ram lap,ram lap,203.0,1.0,,,29.0,18.0,1,0,1
tablet,tablet,214.0,1.0,,,100.0,0.0,1,0,1
thanh ram 8gb,thanh ram 8gb,233.5967811,,680.0,1.098529412,892.0,0.0,0,1,1
acbel,acbel,1181.0,1.0,397.0,3.304785894,30.0,34.0,1,1,1
b75,B75,364.0,1.0,,,17.0,0.0,1,0,1
cooler master,cooler master,1748.0,1.0,2031.0,4.883308715,52.0,16.0,1,1,1
hp m102a,hp m102a,188.2515236,,548.0,3.439781022,1.0,1.0,0,1,1
hub usb,hub usb,1287.0,1.0,2720.0,1.689705882,44.0,34.0,1,1,1
logitech g403 wireless,logitech g403 wireless,549.2959602,,1599.0,5.166979362,198.0,1.0,0,1,1
may in brother 2321d,máy in brother 2321d,608.7257295,,1772.0,4.393340858,193.0,0.0,0,1,1
pc dell,pc dell,553.0,1.0,889.0,3.961754781,71.0,85.0,1,1,1
radeon,Radeon,397.0,1.0,,,1.0,4.0,1,0,1
ram laptop ddr3 4gb bus 1600,ram laptop ddr3 4gb bus 1600,398.4886265,,1160.0,4.167241379,180.0,111.0,0,1,1
ssd 128gb,ssd 128gb,409.0,1.0,4221.0,5.362236437,16.0,28.0,1,1,1
ssd 256,ssd 256,397.0,1.0,854.0,2.243559719,15.0,17.0,1,1,1
dintek,dintek,250.0,1.0,,,6.0,6.0,1,0,1
game pc hay 2018,game pc hay 2018,479.9039752,,1397.0,5.896206156,198.0,0.0,0,1,1
gigabyte h110m-ds2,gigabyte h110m-ds2,1541.051706,,5577.0,2.626551982,6.0,2.0,0,1,2
intel core i7,intel core i7,395.0,1.0,1565.0,5.137380192,5.0,3.0,1,1,1
rog strix fusion 300,rog strix fusion 300,295.7747478,,861.0,4.832752613,1.0,1.0,0,1,1
sac laptop,sạc laptop,833.0,1.0,2409.0,1.692887825,1.0,9.0,1,1,1
usb 16g,usb 16g,424.0,1.0,,,20.0,0.0,1,0,1
24mp59g,24mp59g,318.0,1.0,1966.0,6.121566633,1.0,1.0,1,1,1
2700x,2700x,214.0,1.0,,,1.0,1.0,1,0,1
case may tinh gia re,case máy tính giá rẻ,195.8090665,,570.0,3.51754386,1665.0,0.0,0,1,1
chip core i3,chip core i3,552.0441576,,1607.0,5.528313628,180.0,0.0,0,1,1
core i3 7100 gia,core i3 7100 giá,153.2120064,,446.0,1.869955157,57.0,1.0,0,1,1
g512,g512,180.0,1.0,,,4.0,2.0,1,0,1
gigabyte 1060,gigabyte 1060,153.0,1.0,,,0.0,2.0,1,0,1
gtx 1060 6gb gia,gtx 1060 6gb giá,234.2838304,,682.0,2.582111437,62.0,2.0,0,1,1
lenovo yoga 720,lenovo yoga 720,67.0,1.0,421.0,6.209026128,1.0,4.0,1,1,1
m2 2280,m2 2280,193.0,1.0,126.0,4.150793651,8.0,17.0,1,1,1
man hinh viewsonic,màn hình viewsonic,133.0,1.0,3464.0,3.190564135,9.0,10.0,1,1,1
may tinh,máy tính,3905.875589,1.0,1620959.0,5.8374384298,1112.0,1250.0,1,1,5
tai nghe game,tai nghe game,103.0,1.0,817.0,2.76621787,3.0,3.0,1,1,1
tai nghe zidli zh11s,tai nghe zidli zh11s,51.0,1.0,848.0,1.884433962,2.0,25.0,1,1,1
cap nguon,cáp nguồn,516.0,1.0,106.0,2.575471698,106.0,30.0,1,1,1
card man hinh asus,card màn hình asus,177.0,1.0,465.0,1.775475259,31.0,104.0,1,1,1
g310,g310,167.0,1.0,,,23.0,1.0,1,0,1
gigabyte b360m aorus gaming 3,gigabyte b360m aorus gaming 3,70.0,1.0,2154.0,7.26183844,1.0,31.0,1,1,1
ipad pro,ipad pro,152.0,1.0,,,3.0,2.0,1,0,1
loa di dong,loa di động,355.2045171,,1034.0,9.773248356,1056.0,0.0,0,1,1
man hinh 24,màn hình 24,233.0,1.0,,,22.0,56.0,1,0,1
may laptop dell,máy laptop dell,545.8607134,,1589.0,5.95909377,83.0,108.0,0,1,1
o cung seagate 500gb,ổ cứng seagate 500gb,296.1182725,,862.0,1.032482599,4.0,0.0,0,1,1
orico,orico,2952.0,1.0,,,79.0,83.0,1,0,1
1060,1060,31012.0,1.0,2007.0,4.160936721,65.0,25.0,1,1,1
4tb,4tb,569.0,1.0,,,28.0,22.0,1,0,1
burn in tai nghe,burn in tai nghe,207.4889055,,604.0,5.17384106,311.0,0.0,0,1,1
card gt 730,card gt 730,167.2965182,,487.0,4.991786448,208.0,0.0,0,1,1
chuot logitech b175,chuột logitech b175,339.7459066,,989.0,1.451282093,1.0,1.0,0,1,1
display port,display port,390.0,1.0,,,2.0,3.0,1,0,1
dk880,Dk880,177.0,1.0,,,3.0,3.0,1,0,1
hdd wd,Hdd wd,992.0,1.0,,,83.0,91.0,1,0,1
hp probook,hp probook,1482.0,1.0,6120.0,3.720424837,20.0,31.0,1,1,1
hp probook 430 g5,hp probook 430 g5,89.0,1.0,1131.0,2.530503979,5.0,11.0,1,1,1
kas,kas,401.0,1.0,,,31.0,17.0,1,0,1
lbp 2900,lbp 2900,72.0,1.0,2218.0,6.249774572,1.0,1.0,1,1,1
msi 1060,msi 1060,341.0,1.0,141.0,4.14893617,7.0,8.0,1,1,1
o cung wd 500gb,ổ cứng wd 500gb,152.8684817,,445.0,1.269662921,9.0,0.0,0,1,1
ssd 240gb,ssd 240gb,180.0,1.0,2318.0,2.055651424,17.0,13.0,1,1,1
tai nghe hyperx,tai nghe hyperx,128.0,1.0,1461.0,5.472963723,4.0,4.0,1,1,1
b360 gaming,B360 gaming,177.0,1.0,,,12.0,17.0,1,0,1
ban phim led,bàn phím led,321.0,1.0,,,15.0,25.0,1,0,1
ban phim roi laptop,bàn phím rời laptop,225.0086641,,655.0,4.853435115,501.0,0.0,0,1,1
case xigmatek libra,case xigmatek libra,262.7963787,,765.0,2.883660131,1.0,2.0,0,1,1
dell 3578 i7,dell 3578 i7,173.1364377,,504.0,2.331349206,1.0,1.0,0,1,1
dell e2216h,dell e2216h,336.3106598,,979.0,3.379979571,2.0,1.0,0,1,1
ex750ap,Ex750AP,225.0,1.0,,,2.0,2.0,1,0,1
fx503vm,fx503vm,282.0337607,,821.0,5.845310597,1.0,1.0,0,1,1
g3930,g3930,150.0,1.0,1896.0,4.439873418,2.0,2.0,1,1,1
goo,goo,212.0,1.0,,,2.0,2.0,1,0,1
gtx 1030 gia,gtx 1030 giá,294.7441738,,858.0,1.674825175,290.0,0.0,0,1,1
intel,intel,6650.0,1.0,,,60.0,52.0,1,0,1
samsung sm-n950f,samsung sm-n950f,338.3718079,,985.0,3.805076142,156.0,3.0,0,1,1
tai nghe chup tai,tai nghe chụp tai,85.0,1.0,3551.0,7.357462922,3.0,0.0,1,1,1
1800417,1800417,228.0,1.0,,,1.0,1.0,1,0,1
asus ux430ua,asus ux430ua,101.0,1.0,628.0,8.178343949,4.0,4.0,1,1,1
ban phim may tinh khong day,bàn phím máy tính không dây,386.1217381,,1124.0,2.18772242,1553.0,15.0,0,1,1
case xigmatek scorpio,case xigmatek scorpio,219.5122693,,639.0,4.582159624,1.0,1.0,0,1,1
cherry mx,Cherry MX,2139.0,1.0,,,5.0,8.0,1,0,1
chuot may tinh logitech,chuột máy tính logitech,524.0,1.0,1257.0,2.85043755,61.0,365.0,1,1,1
i5 6400,i5 6400,61.0,1.0,3698.0,3.477555435,42.0,0.0,1,1,1
may in canon 6030,máy in canon 6030,1085.194458,,3159.0,2.31168207,2.0,0.0,0,1,1
o cung ssd samsung,ổ cứng ssd samsung,359.0,1.0,2301.0,1.96784007,18.0,119.0,1,1,1
quat may tinh,quạt máy tính,394.7098551,,1149.0,4.259355962,2698.0,0.0,0,1,1
ram 4gb ddr4,ram 4gb ddr4,261.0,1.0,3391.0,1.219994102,31.0,51.0,1,1,1
2900,2900,797.0,1.0,1138.0,6.159050967,2.0,2.0,1,1,1
350w,350w,457.0,1.0,,,7.0,9.0,1,0,1
asus x018d,asus x018d,1153.212344,,3357.0,5.587131367,1.0,1.0,0,1,1
ban phim choi game,bàn phím chơi game,71.0,1.0,1932.0,1.672686114,311.0,1.0,1,1,1
cap may in,cáp máy in,140.5015933,,409.0,2.557457213,7.0,0.0,0,1,1
ck300,ck300,371.0,1.0,,,3.0,3.0,1,0,1
laptop game,laptop game,223.6345654,,651.0,2.556067588,1.0,0.0,0,1,1
logitech z906,logitech z906,473.720531,,1379.0,5.447425671,1.0,1.0,0,1,1
m185,m185,238.0,1.0,87.0,3.551724138,3.0,3.0,1,1,1
msi gv72,msi gv72,272.071545,,792.0,5.488636364,1.0,2.0,0,1,1
phan mem diet virus,Phần mềm diệt virus,150.0,1.0,,,3.0,1.0,1,0,1
su800,su800,347.0,1.0,,,1.0,1.0,1,0,1
120g,120g,202.0,1.0,,,17.0,23.0,1,0,1
2 tb,2 tb,1195.0,1.0,,,60.0,46.0,1,0,1
3.5,3.5,234.0,1.0,,,72.0,57.0,1,0,1
case sama,case sama,752.0,1.0,2873.0,1.510964149,27.0,36.0,1,1,1
case xigmatek taurus,case xigmatek taurus,164.5483208,,479.0,3.052192067,228.0,1.0,0,1,1
chuot fuhlen x102s,chuột fuhlen x102s,392.3051823,,1142.0,2.131348511,1.0,1.0,0,1,1
chuot msi,chuột msi,222.0,1.0,641.0,5.433697348,15.0,7.0,1,1,1
may in hp 402dn,máy in hp 402dn,561.6628486,,1635.0,1.690909091,417.0,0.0,0,1,1
msi h110m pro-vd plus,msi h110m pro-vd plus,356.5786158,,1038.0,4.097302505,1.0,1.0,0,1,1
mua ssd cho laptop,mua ssd cho laptop,203.3666094,,592.0,1.14527027,169.0,0.0,0,1,1
sli,SLI,149.0,1.0,,,37.0,28.0,1,0,1
ssd wd,ssd wd,1125.0,1.0,512.0,2.26953125,15.0,23.0,1,1,1
z198,Z198,987.0,1.0,,,1.0,0.0,1,0,1
a510,A510,251.0,1.0,,,7.0,0.0,1,0,1
apa,apa,205.0,1.0,,,42.0,75.0,1,0,1
ban phim   chuot,bàn phím   chuot,514.0,1.0,,,38.0,39.0,1,0,1
corsair,corsair,8275.0,1.0,,,122.0,118.0,1,0,1
fuhlen eraser,fuhlen eraser,425.0,1.0,2999.0,2.731243748,1.0,1.0,1,1,1
g613,g613,324.0,1.0,562.0,5.097864769,1.0,1.0,1,1,1
hp elitebook,hp elitebook,196.0,1.0,4361.0,5.323549645,1.0,2.0,1,1,1
hp pavilion 14 ce0024tu,hp pavilion 14 ce0024tu,237.3755525,,691.0,2.610709117,1.0,31.0,0,1,1
link,Link,208.0,1.0,,,143.0,179.0,1,0,1
logitech z313,logitech z313,275.1632671,,801.0,3.313358302,1.0,1.0,0,1,1
msi b360,msi b360,319.0,1.0,,,11.0,11.0,1,0,1
ssd m.2,ssd m.2,276.0,1.0,529.0,1.542533081,21.0,15.0,1,1,1
apacer,apacer,822.0,1.0,,,26.0,26.0,1,0,1
dell e2016h,dell e2016h,152.524957,,444.0,2.849099099,2.0,1.0,0,1,1
dell u2417h,dell u2417h,181.0,1.0,7607.0,3.548047851,1.0,1.0,1,1,1
dien thoai,điện thoại,3195.0,1.0,,,242.0,276.0,1,0,1
e2016h,e2016h,169.0,1.0,218.0,5.114678899,2.0,2.0,1,1,1
jack,jack,212.0,1.0,,,5.0,7.0,1,0,1
laptop hp pavilion 14,laptop hp pavilion 14,93.0,1.0,986.0,6.385395538,19.0,66.0,1,1,1
man hinh 120hz,màn hình 120hz,207.1453809,,603.0,3.087893864,3614.0,0.0,0,1,1
o cung hdd laptop,ổ cứng hdd laptop,530.4021029,,1544.0,1.04590738,813.0,0.0,0,1,1
x018d,x018d,312.9509817,,911.0,5.038419319,1.0,1.0,0,1,1
bo chia usb,bộ chia usb,203.0,1.0,396.0,5.022727273,31.0,32.0,1,1,1
bo vi xu ly,bộ vi xử lý,313.0,1.0,344.0,2.886627907,40.0,59.0,1,1,1
dell u2518d,dell u2518d,436.2763411,,1270.0,6.277165354,1.0,1.0,0,1,1
dell xps 13 9360,dell xps 13 9360,106.0,1.0,4016.0,7.663844622,1.0,6.0,1,1,1
eblue,eblue,395.0,1.0,,,19.0,3.0,1,0,1
gskill 8gb,gskill 8gb,184.0,1.0,69.0,2.391304348,2.0,3.0,1,1,1
hp envy 15,hp envy 15,684.3011586,,1992.0,6.382028112,460.0,1.0,0,1,1
intel core i7 8700k,intel core i7 8700k,222.947516,,649.0,4.24807396,38.0,3.0,0,1,1
m88,m88,166.0,1.0,,,3.0,0.0,1,0,1
o cung di dong 2tb,ổ cứng di động 2tb,485.0568454,,1412.0,5.396288154,932.0,0.0,0,1,1
o cung ssd 120g,o cung ssd 120g,234.2838304,,682.0,1.042521994,17.0,0.0,0,1,1
ram corsair,ram corsair,183.0,1.0,804.0,3.641791045,25.0,16.0,1,1,1
wifi router,wifi router,396.7710031,,1155.0,4.418181818,122.0,0.0,0,1,1
3000,3000,783.0,1.0,,,34.0,30.0,1,0,1
3576,3576,274.0,1.0,,,3.0,3.0,1,0,1
7567,7567,393.0,1.0,,,17.0,1.0,1,0,1
acer spin 5,acer spin 5,202.67956,,590.0,3.549152542,1.0,0.0,0,1,1
aus,aus,202.0,1.0,,,401.0,0.0,1,0,1
cap lan,cáp lan,187.0,1.0,,,2.0,2.0,1,0,1
chuot g102,chuột g102,105.0,1.0,1650.0,1.243471153,1.0,1.0,1,1,1
chuot gaming,chuột gaming,906.0,1.0,8227.0,1.4249843174999999,33.0,40.0,1,1,2
g433,g433,486.0,1.0,419.0,6.472553699,3.0,4.0,1,1,1
g4900,g4900,115.0,1.0,1050.0,4.104761905,2.0,2.0,1,1,1
ikbc,ikbc,467.0,1.0,,,2.0,3.0,1,0,1
laptop asus,laptop asus,20709.0,1.0,67170.0,6.588968174,157.0,147.0,1,1,2
may tinh bang windows,máy tính bảng windows,149.7767596,,436.0,7.428899083,1889.0,36.0,0,1,1
o hdd,ổ hdd,75.0,1.0,601.0,1.281339303,249.0,0.0,1,1,1
zidli zh6,zidli zh6,84.0,1.0,894.0,1.125279642,1.0,3.0,1,1,1
8550u,8550u,194.0,1.0,,,20.0,27.0,1,0,1
cap sata,cáp sata,458.0,1.0,573.0,3.440396293,2.0,2.0,1,1,1
cisco,Cisco,906.0,1.0,,,21.0,10.0,1,0,1
core i5 7400,core i5 7400,219.0,1.0,1855.0,2.998921833,1.0,1.0,1,1,1
dell 2414h,dell 2414h,320.8520493,,934.0,3.21627409,1.0,0.0,0,1,1
dell vostro 3478,dell vostro 3478,161.113074,,469.0,2.938166311,2.0,2.0,0,1,1
laptop card roi,laptop card rời,142.5627414,,415.0,6.45060241,1265.0,0.0,0,1,1
man hinh may tinh cong gia re,màn hình máy tính cong giá rẻ,146.3415128,,426.0,3.814553991,1595.0,0.0,0,1,1
master,master,196.0,1.0,,,80.0,42.0,1,0,1
razer,razer,11403.0,1.0,,,39.0,50.0,1,0,1
ryzen 7 2700x,ryzen 7 2700x,612.8480256,,1784.0,5.063901345,1.0,1.0,0,1,1
sac du phong,sạc dự phong,3077.0,1.0,,,113.0,118.0,1,0,1
tai nghe plantronics rig 500,tai nghe plantronics rig 500,143.9368401,,419.0,1.711217184,2.0,21.0,0,1,1
5400,5400,677.0,1.0,,,31.0,18.0,1,0,1
canon,canon,1929.0,1.0,,,66.0,57.0,1,0,1
corsair k68,corsair k68,101.0,1.0,946.0,3.415433404,2.0,2.0,1,1,1
cpu i5 7400,cpu i5 7400,51.0,1.0,681.0,2.580029369,1.0,1.0,1,1,1
destroyer,destroyer,206.0,1.0,,,1.0,1.0,1,0,1
i3-7100,i3-7100,89.0,1.0,764.0,4.007853403,24.0,18.0,1,1,1
i5-7400,i5-7400,100.0,1.0,501.0,3.586826347,6.0,10.0,1,1,1
mdrzx310,MDRZX310,264.0,1.0,,,2.0,3.0,1,0,1
o cung ssd,ổ cứng ssd,51665.0,1.0,43799.0,1.833601791666667,514.0,118.0,1,1,3
ram 2gb ddr3,ram 2gb ddr3,55.0,1.0,1883.0,4.062665959,5.0,59.0,1,1,1
ban phim co dareu dk87,bàn phím cơ dareu dk87,105.0,1.0,685.0,2.605839416,4.0,109.0,1,1,1
cpu core i7,cpu core i7,292.0,1.0,1656.0,2.153985507,5.0,14.0,1,1,1
dell n5370a,dell n5370a,171.4188143,,499.0,3.426853707,1.0,1.0,0,1,1
dia cung,đĩa cứng,197.1831652,,574.0,2.102787456,119.0,0.0,0,1,1
fuhlen x102s,fuhlen x102s,706.9737874,,2058.0,2.184645287,1.0,1.0,0,1,1
k120,k120,751.0,1.0,99.0,3.626262626,1.0,2.0,1,1,1
laptop,laptop,33391.0,1.0,253461.0,4.763130660666666,966.0,726.0,1,1,7
maay in,maáy in,140.5015933,,409.0,2.117359413,144.0,0.0,0,1,1
man hinh 4k,màn hình 4k,169.0,1.0,,,2.0,1.0,1,0,1
o dien,Ổ điện,252.0,1.0,,,10.0,304.0,1,0,1
ram 8,ram 8,297.0,1.0,63.0,2.19047619,16.0,32.0,1,1,1
ram ddr4 8gb,ram ddr4 8gb,302.0,1.0,2614.0,1.43075746,80.0,161.0,1,1,1
2280,2280,159.0,1.0,,,15.0,21.0,1,0,1
2925,2925,289.0,1.0,169.0,2.289940828,4.0,4.0,1,1,1
7700,7700,940.0,1.0,,,8.0,20.0,1,0,1
canon lide 120,canon lide 120,148.4026609,,432.0,4.479166667,1.0,1.0,0,1,1
